n,macro_f1,balanced_accuracy,accuracy,macro_average_precision,false_alarm_rate,absent_test_classes,source,target,task,seed,model,train_seconds,inference_seconds
80000,0.9556687486595142,0.9725213366823543,0.980825,0.9732909700935607,0.016601451740954974,[],ids2018,ids2018,binary,7,DecisionTree,5.984130800000003,0.13702220000004672
80000,0.4300026893660756,0.4697958120791943,0.6949375,0.5626043817342573,0.29144739381618395,[],ids2018,unsw,binary,7,DecisionTree,5.984130800000003,0.0988147000000481
80000,0.982745862926085,0.9753048472409453,0.9929125,0.983415460875255,0.001630373142792333,[],ids2018,ids2018,binary,7,DeepMLP,72.23618970000007,0.5682342000000062
80000,0.5455332996452688,0.5286851699954217,0.9714125,0.5012050451746849,0.0018142281810110783,[],ids2018,unsw,binary,7,DeepMLP,72.23618970000007,0.5855140999999549
80000,0.9586869919944615,0.9467952780549294,0.9832125,0.9773696748721087,0.005500737212203698,[],ids2018,ids2018,binary,7,FeatureCNN,60.44303120000018,0.9285957000001872
80000,0.48173302933159057,0.4770465226463987,0.920275,0.487654869652484,0.052921422046089114,[],ids2018,unsw,binary,7,FeatureCNN,60.44303120000018,0.8514964999999393
80000,0.9872424513401457,0.9783280032972497,0.994775,0.9868138624381744,0.0001275944198707043,[],ids2018,ids2018,binary,7,RandomForest,23.412736700000096,0.553054100000054
80000,0.4868729639350769,0.48808574696467033,0.947925,0.47916210563376627,0.024266910279339672,[],ids2018,unsw,binary,7,RandomForest,23.412736700000096,0.35360060000016347
80000,0.9705098824167375,0.972274812327028,0.98765,0.9808690018514927,0.007584779403425201,[],ids2018,ids2018,binary,7,ShallowMLP,12.801679599999943,0.2268211999999039
80000,0.33827875556289655,0.28268888787114727,0.50585,0.4649289305356669,0.4806546661691478,[],ids2018,unsw,binary,7,ShallowMLP,12.801679599999943,0.19928649999997106
80000,0.9821115407508345,0.9788257437722849,0.9925875,0.9870563029743497,0.003147329023477373,[],ids2018,ids2018,binary,7,SoftVoting,35.931379000000106,0.8013558999998622
80000,0.5139267818444033,0.5107643917721347,0.968425,0.4992716507546042,0.0038986605591940196,[],ids2018,unsw,binary,7,SoftVoting,35.931379000000106,0.5624884999999722
80000,0.9851410488440244,0.9793271513735041,0.993875,0.9874419392574609,0.0016161959850289215,[],ids2018,ids2018,binary,7,XGBoost,6.534511500000008,0.31096099999990656
